Instrument-1,Instrument-2,p-value,t-value,critical value,hedge_ratio,Zero_crossings
WSMUSDT,MULTIUSDT,0.0,-5.05,-3.34,0.01,119
RIFUSDT,KASUSDT,0.0,-4.2,-3.34,2.8,101
ZECUSDT,ANKRUSDT,0.0,-4.71,-3.34,1509.34,100
TOMIUSDT,MKRUSDT,0.01,-3.94,-3.34,0.0,99
10000STARLUSDT,AKROUSDT,0.02,-3.74,-3.34,7.68,99
QTUMUSDT,IMXUSDT,0.01,-3.81,-3.34,2.0,97
VETUSDT,GRTUSDT,0.0,-4.76,-3.34,0.21,91
YGGUSDT,IMXUSDT,0.02,-3.73,-3.34,1.11,89
VGXUSDT,MULTIUSDT,0.0,-4.61,-3.34,0.06,89
RNDRUSDT,COMPUSDT,0.01,-3.84,-3.34,0.01,89
ZECUSDT,QTUMUSDT,0.0,-4.72,-3.34,16.39,89
STPTUSDT,ORBSUSDT,0.04,-3.44,-3.34,1.52,88
SUIUSDT,ARUSDT,0.04,-3.41,-3.34,0.02,87
SNTUSDT,MULTIUSDT,0.03,-3.5,-3.34,0.02,87
STGUSDT,HIGHUSDT,0.02,-3.59,-3.34,0.22,85
RNDRUSDT,1INCHUSDT,0.02,-3.74,-3.34,1.8,83
OXTUSDT,GMXUSDT,0.04,-3.47,-3.34,0.0,83
XLMUSDT,HNTUSDT,0.04,-3.39,-3.34,0.01,82
ZRXUSDT,MASKUSDT,0.04,-3.47,-3.34,0.06,81
10000STARLUSDT,ARKMUSDT,0.0,-7.28,-3.34,0.09,81
YGGUSDT,AUDIOUSDT,0.0,-4.31,-3.34,3.43,80
PERPUSDT,AUCTIONUSDT,0.0,-5.43,-3.34,0.12,80
10000STARLUSDT,HNTUSDT,0.0,-5.22,-3.34,0.0,80
PHBUSDT,VGXUSDT,0.0,-4.27,-3.34,5.37,79
10000STARLUSDT,ANKRUSDT,0.0,-5.46,-3.34,0.36,79
ZECUSDT,AUDIOUSDT,0.0,-4.45,-3.34,102.67,79
XEMUSDT,ANKRUSDT,0.0,-4.5,-3.34,1.22,78
10000STARLUSDT,AUCTIONUSDT,0.0,-5.88,-3.34,0.01,78
10000STARLUSDT,BLURUSDT,0.0,-7.66,-3.34,0.05,78
XEMUSDT,IDEXUSDT,0.02,-3.73,-3.34,2.09,78
TUSDT,FLRUSDT,0.01,-3.79,-3.34,1.12,78
PERPUSDT,OGNUSDT,0.01,-3.89,-3.34,5.01,77
RNDRUSDT,HBARUSDT,0.0,-4.71,-3.34,11.51,77
TOMIUSDT,NKNUSDT,0.03,-3.48,-3.34,19.24,76
UMAUSDT,STEEMUSDT,0.04,-3.38,-3.34,6.23,76
10000STARLUSDT,CROUSDT,0.0,-6.25,-3.34,0.07,76
RUNEUSDT,CELRUSDT,0.03,-3.53,-3.34,93.78,74
TOMIUSDT,UMAUSDT,0.04,-3.45,-3.34,1.36,74
10000STARLUSDT,BELUSDT,0.0,-5.11,-3.34,0.05,74
WSMUSDT,ARKMUSDT,0.04,-3.41,-3.34,0.06,74
TRXUSDT,ICPUSDT,0.03,-3.55,-3.34,0.0,73
ZENUSDT,LITUSDT,0.01,-4.07,-3.34,23.34,73
WSMUSDT,IDEXUSDT,0.02,-3.76,-3.34,0.4,73
TRBUSDT,NTRNUSDT,0.0,-4.65,-3.34,37.62,72
RIFUSDT,OXTUSDT,0.04,-3.39,-3.34,1.46,72
YFIUSDT,ENJUSDT,0.03,-3.49,-3.34,9533.87,72
RDNTUSDT,HOOKUSDT,0.03,-3.48,-3.34,0.15,72
10000STARLUSDT,ALPACAUSDT,0.0,-5.22,-3.34,0.26,72
WSMUSDT,10000STARLUSDT,0.01,-3.98,-3.34,0.61,71
RDNTUSDT,HIGHUSDT,0.01,-4.03,-3.34,0.13,71
PENDLEUSDT,BSVUSDT,0.02,-3.7,-3.34,0.01,71
10000STARLUSDT,FETUSDT,0.0,-5.51,-3.34,0.09,71
XRPUSDT,APTUSDT,0.0,-4.48,-3.34,0.18,70
10000STARLUSDT,1000PEPEUSDT,0.0,-5.25,-3.34,24.23,70
TRUUSDT,MAVUSDT,0.02,-3.62,-3.34,0.23,70
10000STARLUSDT,COMPUSDT,0.0,-5.41,-3.34,0.0,70
THETAUSDT,HBARUSDT,0.04,-3.43,-3.34,19.18,69
10000STARLUSDT,FORTHUSDT,0.0,-5.35,-3.34,0.01,69
PERPUSDT,ALPACAUSDT,0.0,-4.67,-3.34,4.38,69
XVSUSDT,OXTUSDT,0.04,-3.39,-3.34,65.83,68
RNDRUSDT,CTKUSDT,0.04,-3.43,-3.34,2.61,68
STPTUSDT,1000PEPEUSDT,0.02,-3.61,-3.34,40.49,68
PERPUSDT,HNTUSDT,0.01,-3.86,-3.34,0.03,68
UNIUSDT,HFTUSDT,0.0,-4.14,-3.34,26.05,67
XEMUSDT,YGGUSDT,0.0,-4.24,-3.34,0.02,67
VGXUSDT,IDEXUSDT,0.0,-4.52,-3.34,2.13,66
XEMUSDT,ZECUSDT,0.0,-5.26,-3.34,0.0,66
STRAXUSDT,OGNUSDT,0.03,-3.49,-3.34,7.91,66
10000STARLUSDT,NKNUSDT,0.0,-6.0,-3.34,0.34,66
WOOUSDT,XTZUSDT,0.04,-3.47,-3.34,0.07,66
ZENUSDT,IMXUSDT,0.0,-4.71,-3.34,13.5,66
THETAUSDT,10000NFTUSDT,0.02,-3.73,-3.34,360.17,66
STRAXUSDT,BTCUSDT,0.02,-3.64,-3.34,0.0,66
RIFUSDT,FILUSDT,0.04,-3.42,-3.34,0.0,65
TRUUSDT,DYDXUSDT,0.0,-4.34,-3.34,0.0,65
10000STARLUSDT,ETHUSDT,0.0,-5.77,-3.34,0.0,65
ZENUSDT,1000BONKUSDT,0.01,-3.89,-3.34,66357.37,65
RDNTUSDT,1000FLOKIUSDT,0.03,-3.49,-3.34,8.65,65
YGGUSDT,DYDXUSDT,0.01,-4.01,-3.34,0.35,64
ZECUSDT,LPTUSDT,0.01,-3.88,-3.34,4.03,64
SNTUSDT,ICPUSDT,0.02,-3.71,-3.34,0.0,64
PERPUSDT,NMRUSDT,0.0,-5.81,-3.34,0.05,64
RIFUSDT,JSTUSDT,0.05,-3.37,-3.34,2.0,64
PERPUSDT,DOTUSDT,0.01,-3.77,-3.34,0.02,64
